Source,Target,Type,Label,Weight,SOURCE PERSON,TARGET PERSON,DATE
1,2,Directed,Parent,5,Allemand Pere (Marc Allemand),Etienne Allemand,1740
1,3,Undirected,Marriage,5,Allemand Pere (Marc Allemand),Marie Giraud,1738
1,4,Directed,Signatory (marriage),3,Allemand Pere (Marc Allemand),Elizabeth Glaumont,1741
1,5,Directed,Signatory (marriage),3,Allemand Pere (Marc Allemand),Louis Merceron,1741
1,6,Directed,Parent,5,Allemand Pere (Marc Allemand),Marie Allemand (ii),1743
1,8,Directed,Parent,5,Allemand Pere (Marc Allemand),Marie Allemand,1730
1,10,Directed,Godparent,4,Allemand Pere (Marc Allemand),Marguerite Faure,1721
1,15,Directed,Signatory of Marriage Contract,2,Allemand Pere (Marc Allemand),Francoise Ferrand,1764
1,18,Directed,Signatory (baptism),3,Allemand Pere (Marc Allemand),Jean Godinaud,1731
1,47,Directed,Parent,5,Allemand Pere (Marc Allemand),Jean Allemand,1744
1,57,Directed,Signatory (marriage),3,Allemand Pere (Marc Allemand),Jeanne Chabot,1756
1,58,Directed,Signatory (marriage),3,Allemand Pere (Marc Allemand),Jean Yvroix,1756
1,67,Undirected,Sibling,5,Allemand Pere (Marc Allemand),Marguerite Allemand,
1,126,Undirected,Marriage,5,Allemand Pere (Marc Allemand),Elizabeth Lecler,
1,143,Directed,Signatory (marriage),3,Allemand Pere (Marc Allemand),Rose Reze (younger sister),1744
1,150,Directed,Signatory (marriage),3,Allemand Pere (Marc Allemand),Francois Marin,1744
1,192,Directed,"Parent, Signatory (marriage)",5,Allemand Pere (Marc Allemand),Martial Allemand (ii),
1,196,Directed,Parent,5,Allemand Pere (Marc Allemand),Jean Allemand (older),1727
1,263,Directed,Signatory (baptism),3,Allemand Pere (Marc Allemand),Jeanne Faure (ii),1729
1,276,Directed,Godparent,4,Allemand Pere (Marc Allemand),Marc Dupard,1757
1,340,Directed,Signatory (baptism),3,Allemand Pere (Marc Allemand),Jeanne (Janne) Faure,1729
2,6,Undirected,Sibling,5,Etienne Allemand,Marie Allemand (ii),1743
2,8,Undirected,Half Sibling,4,Etienne Allemand,Marie Allemand,1740
2,15,Undirected,Marriage,5,Etienne Allemand,Francoise Ferrand,1764
2,47,Undirected,Sibling,5,Etienne Allemand,Jean Allemand,1744
2,76,Directed,Parent,5,Etienne Allemand,Pierre Allemand,1769
2,94,Directed,Parent,5,Etienne Allemand,Jeanne Allemand (iii),
2,191,Directed,Parent,5,Etienne Allemand,Jeanne Allemand (ii),1768
2,192,Directed,Signatory (marriage),3,Etienne Allemand,Martial Allemand (ii),1767
2,342,Directed,Parent,5,Etienne Allemand,Antoine Allemand,1774
2,423,Directed,Parent,5,Etienne Allemand,Martial Allemand (ii),1767
3,2,Directed,Parent,5,Marie Giraud,Etienne Allemand,1740
3,6,Directed,Parent,5,Marie Giraud,Marie Allemand (ii),1743
3,47,Directed,Parent,5,Marie Giraud,Jean Allemand,1744
3,253,Undirected,Sibling,5,Marie Giraud,Pierre Giraud,
4,2,Directed,Signatory of Marriage Contract,2,Elizabeth Glaumont,Etienne Allemand,1764
4,5,Undirected,Marriage,5,Elizabeth Glaumont,Louis Merceron,1741
4,15,Directed,Signatory of Marriage Contract,2,Elizabeth Glaumont,Francoise Ferrand,1764
4,53,Directed,Signatory (marriage),3,Elizabeth Glaumont,Jean Glaumont (Fils Aine),1759
4,54,Directed,Signatory (marriage),3,Elizabeth Glaumont,Catherine Lecler,1759
4,57,Directed,Signatory (marriage),3,Elizabeth Glaumont,Jeanne Chabot,1756
4,58,Directed,Signatory (marriage),3,Elizabeth Glaumont,Jean Yvroix,1756
4,78,Directed,Signatory (baptism),3,Elizabeth Glaumont,Francois Dumergue,1733
